location,latitude,longitude
bhk,39.774931300000006,64.48143090323728
1st block jayanagar,12.9418488,77.5868976
1st phase jp nagar,12.9119148,77.5798871
2nd phase judicial layout,13.09367905,77.59034353852294
2nd stage nagarbhavi,12.95270675,77.5209428053803
5th block hbr layout,13.0352027,77.6283201
5th phase jp nagar,12.9010682,77.5859397
6th phase jp nagar,12.906186,77.57635157590207
7th phase jp nagar,12.8977428,77.585959
8th phase jp nagar,12.9074619,77.5950566
9th phase jp nagar,12.8681419,77.5628221
aecs layout,12.964118,77.7130369
abbigere,13.0742739,77.5288653
akshaya nagar,13.0195427,77.6831272
ambalipura,12.9173303,77.667161
ambedkar nagar,26.40459405,82.60651543340809
amruthahalli,13.0688336,77.6034132
anandapura,26.8295759,78.043592
ananth nagar,11.962171,75.3866497
anekal,12.710314499999999,77.68861875033141
anjanapura,12.8580811,77.5580713
ardendale,13.0261316,77.76647052764632
arekere,12.8872086,77.5960493
attibele,12.775124850000001,77.77092155398313
beml layout,13.15016405,77.66889888774298
btm 2nd stage,12.9140788,77.6188862
btm layout,12.9151772,77.6102821
babusapalaya,13.0283523,77.650469
badavala nagar,,
balagere,12.9377243,77.7280705
banashankari,15.8876779,75.7046777
banashankari stage ii,13.0021577,77.5526639
banashankari stage iii,,
banashankari stage v,12.9309217,77.5559127
banashankari stage vi,12.9309217,77.5559127
banaswadi,13.0141618,77.6518539
banjara layout,13.0382854,77.6652622
bannerghatta,12.53290595,77.54619068920488
bannerghatta road,12.933450024174846,77.60083573655183
basavangudi,12.942186750000001,77.57425757132074
basaveshwara nagar,12.99118045,77.54489175084052
battarahalli,,
begur,41.9541918,3.2088349
begur road,12.898322730031458,77.62647856903978
bellandur,12.9361208,77.66718430340032
benson town,12.997803,77.6041749
bharathi nagar,11.0471906,76.9890493
bhoganhalli,,
billekahalli,,
binny pete,,
bisuvanahalli,,
bommanahalli,13.1273532,77.35982602390163
bommasandra,12.81601605,77.68922169716504
bommasandra industrial area,12.8139889,77.69523188357013
bommenahalli,13.0742536,77.7465943
brookefield,33.5934382,-79.0347133
budigere,13.1351506,77.7471989
cv raman nagar,17.2510682,80.1651978
chamrajpet,12.9584184,77.5629161
chandapura,12.8009043,77.71149078655947
channasandra,12.9873426,77.7538033
chikka tirupathi,12.8957681,77.8671014
chikkabanavar,,
chikkalasandra,12.9121916,77.5476337
choodasandra,12.8883623,77.67997267342716
cooke town,13.0018862,77.6238136
cox town,39.027872,-80.4750909
cunningham road,12.985725778251478,77.5960405586403
dasanapura,12.74677235,77.77428758350356
dasarahalli,12.9784134,77.5427194
devanahalli,13.2483502,77.7134377
devarachikkanahalli,12.879114170668498,77.60988724770755
dodda nekkundi,12.9686859,77.6966092649896
doddaballapur,13.2929583,77.5431463
doddakallasandra,12.8857355,77.5557448
doddathoguru,12.8529125,77.6556155
domlur,12.9624669,77.6381958
dommasandra,12.8777098,77.7534769
epip zone,12.9781922,77.7246451
electronic city,12.8436448,77.6686835
electronic city phase ii,12.8468545,77.6769267
electronics city phase 1,12.8496783,77.6649749
frazer town,12.9986827,77.615525
gm palaya,12.974779,77.6654084
garudachar palya,12.9861986,77.70214602141074
giri nagar,17.488482,78.4406024
gollarapalya hosahalli,,
gottigere,12.8565317,77.5877237
green glen layout,12.9269039,77.6701877
gubbalala,12.8856635,77.5416809
gunjur,13.17602,-16.759896
hal 2nd stage,12.9689409,77.6437106
hbr layout,13.0358698,77.6323597
hrbr layout,13.0250556,77.6347105
hsr layout,12.9116225,77.6388622
haralur road,12.90180115,77.66417668846154
harlur,12.914462946959649,77.66369756369178
hebbal,13.0382184,77.5919
hebbal kempapura,13.0514799,77.59335587255315
hegde nagar,13.0720352,77.6333905
hennur,13.0258087,77.6305067
hennur road,13.037698498382406,77.63036776017479
